TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
PNPR11;48,00;1,230000;0,00;38,84;1,24;5.000.064,00;1,59;;-3,41;34.873.201,95;15,00;;897.816,00
PNRC11;28,44;0,070000;16,70;10,24;2,78;61,00;1,52;-31,82;;4.201.371,06;103,00;;410.100,00
PORD11;8,16;0,098000;14,48;9,54;0,85;504.666,86;27,07;-0,08;11,24;355.831.973,70;45.714,00;;37.283.750,00
PQAG11;56,49;0,490000;10,20;55,59;1,02;2.748,23;0,04;2,17;12,90;777.818.133,39;478,00;;13.991.890,00
PQDP11;2.539,99;15,800000;9,32;2.598,27;0,98;80.039,19;10,42;5,04;70,74;606.266.466,85;3.009,00;;233.335,00
PRSN11B;0,20;0,081427;40,71;2,62;0,08;0,00;45,90;;-48,91;8.454.733,38;489,00;;3.231.246,00
PRSV11;34,49;1,620000;0,00;104,81;0,33;637,10;0,22;28,92;-27,89;29.557.062,51;788,00;;282.016,00
PRTS11;18.206,64;0,054870;0,00;63,81;285,33;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
PRZS11;0,00;;0,00;61,56;;;0,18;;;91.921.050,63;19,00;;1.493.148,00
PSEC11;56,72;0,550000;13,84;74,82;0,76;3.014.908,14;5,01;-4,10;-0,36;1.376.579.670,84;85.866,00;;18.399.378,00
PULV11;8,72;0,095000;5,45;0,00;;61.949,00;;;;0,00;0,00;;0,00
PVBI11;70,83;0,400000;7,55;107,80;0,66;3.632.400,29;1,18;-12,91;-1,61;2.924.564.951,11;183.130,00;;27.130.067,00
QAMI11;84,68;1,000000;0,00;63,81;1,33;67.019,00;3,50;;3,04;118.155.565,38;8.102,00;;1.851.786,00
QIRI11;78,04;0,660000;0,00;63,81;1,22;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
QNTS11;0,00;1,050000;0,00;177,46;;;1,09;;;241.926.225,49;135,00;;1.363.236,00
QTZD11;0,00;;0,00;8,74;;;8,20;;;5.097.166,73;31,00;;583.340,00
RBBV11;100,00;0,224057;0,00;63,81;1,57;;3,50;75,40;;118.155.565,38;8.102,00;;1.851.786,00
RBCB11;19,00;0,300000;0,00;63,81;0,30;;3,50;-15,04;;118.155.565,38;8.102,00;;1.851.786,00
RBDS11;2,15;2,354143;0,00;18,47;0,12;47,89;13,37;18,99;-9,49;2.336.359,65;799,00;;126.523,00
RBED11;94,00;1,040000;0,00;0,00;;;;15,30;-1,24;0,00;10.734,00;Ativa;2.355.022,00
RBFM11;10,24;0,108000;13,22;13,10;0,78;333.718,52;7,05;3,53;9,03;245.586.362,91;22.860,00;;18.746.075,00
RBFY11;75,00;0,070000;0,72;94,84;0,79;714,80;3,10;;;91.976.948,05;81,00;;969.847,00
RBGS11;28,45;0,176600;0,00;63,81;0,45;;3,50;4,91;;118.155.565,38;8.102,00;;1.851.786,00
RBHG11;64,61;0,800000;14,98;87,09;0,74;407.573,95;1,22;-7,17;5,31;188.803.346,96;7.593,00;;2.167.957,00
RBHY11;74,57;1,000000;16,91;92,79;0,80;425.917,43;1,93;-1,01;7,34;175.696.048,37;3.547,00;;1.893.505,00
RBIR11;79,83;1,635000;17,32;80,20;1,00;100.971,85;9,26;;15,18;122.597.881,19;1.474,00;;1.528.615,00
RBLG11;17,78;0,270000;12,77;33,31;0,53;26,18;8,36;-20,08;3,39;21.325.827,86;238,00;;640.199,00
RBOP11;225,00;0,650000;8,00;738,07;0,30;11.955,81;8,17;-33,46;-15,56;75.035.613,37;2.593,00;;101.664,00
RBRD11;36,99;0,550000;7,44;71,66;0,52;89.681,62;3,93;1.520,08;13,75;132.696.024,45;7.508,00;;1.851.786,00
RBRF11;6,53;0,120000;5,53;8,57;0,76;2.739.709,00;14,59;6,82;4,57;1.172.603.582,62;111.834,00;;136.807.700,00
RBRI11;600,00;13,000000;2,17;313,17;1,92;171,43;23,07;;;43.739.368,06;141,00;;139.665,00
RBRK11;107,00;;0,00;117,24;0,91;71.608,33;4,36;;;203.838.700,60;20,00;;1.738.692,00
RBRL11;79,67;0,600000;10,92;101,49;0,79;541.250,57;8,37;2,12;7,75;678.676.815,21;17.080,00;;6.687.035,00
RBRM11;94.794,81;2.002,089652;0,00;5.301,98;17,88;;100,00;;;2.860.101,93;54,00;Ativa;539,00
RBRP11;49,88;0,400000;9,62;80,73;0,62;792.554,00;3,52;4,30;7,28;983.204.666,82;55.249,00;;12.179.186,00
RBRR11;81,97;0,900000;12,08;93,63;0,88;3.408.511,95;1,58;2,77;7,88;1.526.147.238,23;140.343,00;;16.300.275,00
RBRS11;43,10;0,220000;6,08;96,00;0,45;15.155,47;4,11;-20,98;-3,49;73.386.791,86;871,00;;764.452,00
RBRU11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
RBRX11;8,17;0,090000;13,29;9,84;0,83;2.528.981,76;3,57;-4,55;9,87;1.439.726.363,68;126.249,00;;146.354.302,00
RBRY11;90,00;1,000000;15,53;100,67;0,89;5.628.952,62;4,49;2,15;11,24;1.285.464.017,25;76.388,00;;12.769.512,00
RBTS11;285,05;7,341884;2,58;309,09;0,92;43,85;8,35;;;17.471.047,58;126,00;;56.525,00
RBVA11;9,07;0,090000;11,91;10,65;0,85;1.743.567,05;2,04;-3,45;8,51;1.662.786.345,18;92.778,00;;156.143.050,00
RBVO11;5,32;0,010000;0,00;0,00;;;;71,05;-14,22;0,00;0,00;Ativa;0,00
RCFA11;0,94;;0,00;18,24;0,05;16,45;0,00;;-29,21;10.652.121,72;279,00;;583.926,00
RCFF11;73,01;0,424400;5,44;106,18;0,69;77,56;7,05;;4,92;34.317.215,50;127,00;;323.200,00
RCKF11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
RCRB11;138,67;1,070000;8,24;199,29;0,69;1.266.138,38;0,21;3,71;8,53;735.512.524,59;24.445,00;;3.690.695,00
RCRI11;100,95;1,150000;4,51;102,92;0,98;40.414,24;1,97;;;43.449.061,01;343,00;;422.144,00
RCRI11B;1.200,00;12,481836;0,00;63,81;18,81;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
RDCI11;0,00;3,930000;0,00;87,60;;;25,66;;;267.554.794,83;117,00;;3.054.449,00
RDIV11;100,00;0,750000;1,24;84,71;1,18;7.735.786,00;0,77;;;222.251.350,32;141,00;;2.623.752,00
RDLI11;63,00;15,111099;95,40;88,29;0,71;458,19;27,64;;;169.895.817,95;304,00;;1.924.193,00
RDLS11;0,00;;0,00;1.917,93;;;4,54;;;393.175.697,03;32,00;;205.000,00
RECD11;6,62;0,081500;15,34;6,86;0,97;377,29;7,83;;;37.411.697,01;488,00;;5.453.775,00
RECH11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
RECM11;7,32;0,100000;18,03;9,17;0,80;32.874,10;2,25;;;77.063.751,92;1.209,00;;8.400.517,00
RECR11;79,72;1,118000;13,40;88,90;0,90;2.799.312,64;1,71;2,34;11,08;2.350.762.745,76;173.738,00;;26.441.650,00
RECT11;34,46;0,450000;14,73;89,74;0,38;402.450,45;0,26;2,63;-0,52;766.652.255,56;47.788,00;;8.543.493,00
RECX11;67,99;0,600000;0,00;72,48;0,94;;17,45;-12,46;1,66;15.823.826,78;577,00;Ativa;218.313,00
REIT11;92,00;4,190000;15,62;298,38;0,31;0,00;101,54;-49,80;-5,48;7.844.700,54;60,00;;26.291,00
RELG11;62,50;0,800000;15,28;90,88;0,69;238.837,00;1,39;22,18;9,32;121.287.283,78;4.013,00;;1.334.562,00
RENV11;5,72;0,080000;13,90;14,27;0,40;11.601,81;2,59;;;14.649.819,46;843,00;;1.026.794,00
RFOF11;63,84;0,650000;11,20;70,63;0,90;173.508,00;3,88;-3,87;5,09;54.190.873,96;3.284,00;;767.207,00
RINV11;106,80;1,100000;12,27;108,19;0,99;257.033,18;0,58;-6,55;14,89;424.872.699,97;4.513,00;;3.927.060,00
RJDA11;115,00;;0,00;;;345,00;;;;;;;0,00
RMBS11;8,75;0,114500;2,70;9,59;0,91;6.039,71;13,80;;;24.317.336,05;4.843,00;;2.536.202,00
RNDP11;40,50;0,690000;0,00;0,00;;14.794,00;;-33,42;22,58;0,00;0,00;Ativa;0,00
RNGO11;51,03;0,510000;8,92;83,51;0,61;61.355,00;1,51;-0,22;11,77;223.469.676,84;6.630,00;;2.676.000,00
ROOF11;323,31;41,715400;0,00;280,76;1,15;323,00;14,16;;-1,06;21.757.337,85;81,00;;77.495,00
