TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
THRA11;138,50;0,130000;0,00;63,81;2,17;;3,50;90,73;;118.155.565,38;8.102,00;;1.851.786,00
TJKB11;249,80;2,900000;13,77;282,71;0,88;69.644,05;1,69;5,15;10,22;603.449.605,66;697,00;;2.134.524,00
TMPS11;73,31;0,750000;13,78;83,23;0,88;137.824,05;1,72;-3,73;6,21;81.480.823,25;1.877,00;;978.968,00
TOPP11;62,06;0,840000;16,23;105,93;0,59;724.942,82;3,67;;;479.663.104,75;4.836,00;;4.528.240,00
TORD11;1,09;0,003500;11,97;36,72;0,03;21.427,95;4,30;-72,73;-63,19;212.583.174,34;46.674,00;;5.841.933,00
TORM13;142,00;10,562960;0,00;63,81;2,23;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
TOUR11;8,80;0,242328;0,00;63,81;0,14;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
TRBL11;60,87;0,850000;13,22;80,18;0,76;1.730.497,38;10,33;-5,18;-4,14;620.527.993,64;43.509,00;;7.739.092,00
TRNT11;106,00;0,070000;0,00;166,32;0,64;3.722,17;1,93;-14,19;-2,22;654.545.229,20;501,00;;3.935.562,00
TRPL11;1,05;;0,00;0,59;1,78;386,89;10,50;;;5.929.573,44;167,00;;10.000.000,00
TRUE11;24,01;0,018204;1,09;28,41;0,85;14.484,08;9,00;-10,27;0,62;70.502.318,01;2.875,00;;2.481.283,00
TRXB11;173,00;0,850000;16,10;98,68;1,75;5.051.382,76;1,45;26,93;29,17;401.248.698,60;777,00;;4.066.022,00
TRXF11;90,96;0,930000;12,99;98,79;0,92;16.945.367,81;1,34;0,60;7,48;6.167.547.351,39;302.954,00;;62.430.702,00
TRXY11;8,09;0,110000;16,71;8,88;0,91;127.859,73;1,76;;;315.034.036,19;2.391,00;;35.467.014,00
TSER11;105,44;2,555995;13,59;95,27;1,11;580,50;8,99;5,76;14,03;141.526.364,25;18,00;;1.485.504,00
TSNC11;58,80;7,361195;0,00;78,55;0,75;11,70;5,48;-38,46;;85.368.367,93;109,00;;1.086.780,00
TSNM11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
TVRI11;88,80;1,050000;14,17;104,11;0,85;1.352.254,24;2,74;4,01;9,94;1.657.343.776,89;59.230,00;;15.919.690,00
URHF11;62,02;1,000000;21,48;97,72;0,63;5.555,76;21,14;;;10.789.724,35;302,00;;110.417,00
URPR11;22,03;0,290000;19,69;85,86;0,26;641.936,05;0,57;-31,65;-29,21;1.007.434.069,83;58.354,00;;11.733.895,00
VCHG11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
VCJR11;75,30;1,000000;14,91;94,42;0,80;2.113.938,38;7,19;-0,23;6,23;1.390.264.531,72;288.889,00;;14.723.970,00
VCRI11;7,39;0,095000;15,02;9,54;0,77;351.606,52;2,34;0,61;9,36;196.045.442,60;12.996,00;;20.543.663,00
VCRR11;57,93;0,400000;9,49;103,97;0,56;238.855,14;7,60;-13,37;0,18;207.947.664,02;2.774,00;;2.000.000,00
VCTH11;101,00;;0,00;95,30;1,06;505,00;4,99;;;68.233.254,13;177,00;;715.952,00
VDSV11;0,00;;0,00;1.180,78;;;10,15;;;45.031.457,53;84,00;;38.137,00
VERE11;127.709,34;9,000000;0,04;531,12;240,45;;1,81;30,75;;340.215.922,15;111,00;;640.565,00
VGHF11;5,89;0,070000;15,65;8,53;0,69;3.716.615,33;0,32;-9,23;-2,38;1.404.756.322,80;378.189,00;;164.721.683,00
VGII11;65,76;0,800000;7,60;71,66;0,92;24,17;0,07;;;37.182.232,23;6,00;;518.865,00
VGIP11;78,74;1,080000;13,97;91,64;0,86;2.115.385,36;4,51;2,51;9,48;1.080.127.679,85;84.010,00;;11.787.247,00
VGIR11;9,67;0,120000;15,82;9,80;0,99;4.744.957,43;6,67;3,25;17,44;1.431.154.693,34;266.512,00;;146.101.287,00
VGRI11;5,19;0,075000;25,24;8,74;0,59;326.415,48;3,49;;;306.006.271,38;26.070,00;;35.021.736,00
VIDS11;915,64;63,984592;9,11;696,09;1,32;;26,61;;;65.852.408,13;199,00;;94.603,00
VIFI11;6,96;0,070000;0,00;0,00;;;;5,09;3,60;0,00;0,00;Ativa;0,00
VILG11;92,54;0,820000;9,86;112,24;0,82;3.023.089,00;7,05;5,76;5,61;1.683.317.586,00;148.650,00;;14.997.396,00
VINO11;4,57;0,040000;12,91;9,84;0,46;577.734,67;7,20;-6,20;-10,80;814.633.429,95;129.458,00;;82.826.295,00
VISC11;100,86;0,840000;9,80;116,16;0,87;7.659.994,36;4,73;-5,08;5,59;3.348.643.396,38;347.631,00;;28.828.640,00
VIUR11;2,38;0,206700;29,44;3,49;0,68;173.378,14;62,10;3,78;6,54;94.013.195,78;37.665,00;;26.946.220,00
VJFD11;126,08;0,880000;8,99;170,90;0,74;21,08;0,71;8,14;;833.336.234,48;104,00;;4.876.129,00
VLIQ11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
VLJS11;1.141,14;28,819221;0,00;599,46;1,90;;0,01;;;15.627.191,19;9,00;;26.068,00
VLOL11;88,00;1,856441;0,00;63,81;1,38;0,00;3,50;14,56;;118.155.565,38;8.102,00;;1.851.786,00
VOTS11;88,59;1,200000;12,10;92,44;0,96;1.775,47;9,66;1,18;14,41;76.536.158,40;534,00;;827.913,00
VPPR11;21,00;0,070000;0,00;43,21;0,49;145.330,62;1,43;-42,64;-0,89;316.096.886,53;30.724,00;;7.316.171,00
VPSI11;22,38;0,269873;13,77;33,60;0,67;22,00;0,86;9,81;;271.246.093,72;125,00;;8.071.897,00
VRTA11;73,10;0,850000;13,96;84,30;0,87;1.578.024,86;3,10;2,33;5,33;1.314.465.129,26;104.232,00;;15.592.424,00
VRTM11;6,96;0,090000;15,56;9,48;0,73;401.504,71;7,34;;;445.134.940,78;11.903,00;;46.971.245,00
VSEC11;0,21;0,080000;0,00;63,81;0,00;;3,50;-0,62;;118.155.565,38;8.102,00;;1.851.786,00
VSHO11;75,44;0,700000;11,20;114,72;0,66;17.428,29;1,05;0,60;11,60;240.767.481,39;2.882,00;;2.098.800,00
VSLH11;1,67;0,035000;20,42;10,71;0,16;85.355,48;;-7,97;-22,79;0,00;61.194,00;;29.864.091,00
VTBL11;0,00;1,544600;0,00;84,35;;;0,00;;;19.105.850,77;1,00;;226.505,00
VTLT11;88,98;1,262349;11,17;90,55;0,98;12.462.404,00;1,31;6,44;9,14;191.517.274,18;5.533,00;;2.115.000,00
VTPA11;0,00;;0,00;104,75;;;1,49;;;69.333.068,07;1,00;;661.867,00
VTPL11;64,25;0,223619;7,27;119,79;0,54;66,00;0,69;;;166.052.886,05;125,00;;1.386.242,00
VTRT11;0,00;0,107508;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
VTVI11;0,00;;0,00;21,92;;;2,52;;;39.046.008,94;1,00;;1.780.984,00
VTXI11;0,00;;0,00;2,64;;;6,74;;;273.238,99;2,00;;103.500,00
VVCO11;8,50;0,323281;0,00;14,88;0,57;2.406,70;2,58;;-8,54;147.278.908,13;2.482,00;;9.900.000,00
VVCR11;9,35;0,100000;13,02;10,36;0,90;27.554,19;9,62;-19,72;5,20;189.314.027,48;2.073,00;;18.278.958,00
VVMR11;84,98;0,200000;1,64;85,30;1,00;7.158,67;0,80;-26,18;3,45;240.822.369,59;512,00;;2.823.180,00
VVPR11;101,50;0,892340;0,00;63,81;1,59;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
VVRI11;92,99;0,350000;6,45;79,79;1,17;3.590,11;3,13;;7,92;140.196.541,62;143,00;;1.757.140,00
VXXV11;762,00;93,020000;0,00;436,60;1,75;20.484.630,00;1,12;;5,30;208.638.529,17;16,00;;477.875,00
WHGR11;9,18;0,100000;13,45;9,90;0,93;258.085,76;2,76;-2,11;14,16;306.044.579,27;15.121,00;;30.912.378,00
WPLZ11;47,51;0,370000;11,22;54,59;0,87;5.862,25;0,92;1,02;1,33;64.783.843,30;1.464,00;;1.186.683,00
WSEC11;1,41;0,020354;31,33;1,47;0,96;1.533,00;103,39;-2,33;26,90;3.603.090,71;918,00;;2.456.510,00
WTSP11;65,00;0,410000;6,88;94,08;0,69;11.326,88;0,95;5,02;;116.529.929,93;232,00;;1.238.572,00
XBXO11;0,00;;0,00;8,46;;;0,01;;;25.735.082,25;5,00;;3.042.600,00
XLPR11;74,50;0,336208;9,87;77,64;0,96;134.329,71;0,98;-4,56;9,27;37.404.223,23;1.399,00;;481.757,00
XPCI11;82,75;0,930000;13,26;89,01;0,93;1.791.390,77;4,36;0,56;12,60;774.502.348,92;82.455,00;;8.701.551,00
XPCM11;8,24;0,020000;0,00;20,23;0,41;15.748,38;0,83;-34,84;-14,14;48.844.138,71;15.780,00;;2.414.570,00
XPIN11;63,30;0,850000;14,14;90,39;0,70;698.505,48;0,62;8,34;3,79;646.316.057,39;38.138,00;;7.150.422,00
XPLG11;91,90;0,820000;10,74;105,56;0,87;6.078.802,33;3,10;1,64;3,33;5.424.505.175,38;342.586,00;;51.390.097,00
XPML11;104,37;0,920000;10,59;110,11;0,95;16.383.265,09;3,50;1,75;11,05;7.081.112.753,36;733.101,00;;64.308.055,00
XPRE11;0,00;;0,00;;;;;;;;;;0,00
XPSF11;6,21;0,070000;13,06;8,05;0,77;380.519,00;2,08;-3,63;4,97;348.567.671,25;54.761,00;;43.302.140,00
YEES11;102,00;;0,00;99,72;1,02;1.224,00;10,47;;;26.920.463,92;136,00;;269.952,00
YUFI11;15,00;0,171599;0,00;39,37;0,38;0,00;4,60;;-26,43;19.396.914,22;56,00;;492.650,00
ZAGH11;9,39;0,050000;7,63;9,06;1,04;976,00;1,99;;;95.195.596,62;515,00;;10.510.689,00
ZAVC11;9,01;0,130000;18,54;10,09;0,89;8.350,00;12,74;;;36.163.688,06;812,00;;3.582.421,00
ZAVI11;9,50;0,120000;14,29;13,58;0,70;37.012,38;4,34;-2,00;3,41;159.374.332,33;2.531,00;;11.733.220,00
ZIFI11;899,99;3,304958;0,00;1.753,10;0,51;0,00;0,00;;-2,47;83.245.993,55;89,00;;47.485,00
